
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# e86cc238-7265-4253-8249-7041c28cdeaa (gw150914-16day-c01-v1_3_2)
Transformation           Count     Succeeded Failed  Min       Max       Mean      Total     
condor::dagman           10        2         8       114.0     904946.0  250599.0  2505990.0 
dagman::post             2         2         0       0.0       1.0       0.5       1.0       
dagman::pre              10        10        0       89.0      381.0     223.7     2237.0    
pegasus::cleanup         1         1         0       2.434     2.434     2.434     2.434     
pegasus::dirmanager      1         1         0       2.507     2.507     2.507     2.507     


# d88f249d-669c-4606-8f6b-038e8e1c5a5a (main)
Transformation                                                                        Count     Succeeded Failed  Min        Max        Mean             Total         
bank2hdf-H1L1_ID6                                                                     1         1         0       18.496     18.496     18.496           18.496        
calculate_psd-PART0-H1_ID70                                                           1         1         0       61869.915  61869.915  61869.915        61869.915     
calculate_psd-PART0-L1_ID59                                                           1         1         0       110270.453 110270.453 110270.453       110270.453    
calculate_psd-PART1-H1_ID71                                                           1         1         0       202169.564 202169.564 202169.564       202169.564    
calculate_psd-PART1-L1_ID60                                                           1         1         0       115357.569 115357.569 115357.569       115357.569    
calculate_psd-PART2-H1_ID72                                                           1         1         0       24788.752  24788.752  24788.752        24788.752     
calculate_psd-PART2-L1_ID61                                                           1         1         0       49903.29   49903.29   49903.29         49903.29      
calculate_psd-PART3-H1_ID73                                                           1         1         0       204379.128 204379.128 204379.128       204379.128    
calculate_psd-PART3-L1_ID62                                                           1         1         0       25683.77   25683.77   25683.77         25683.77      
calculate_psd-PART4-H1_ID74                                                           1         1         0       202814.552 202814.552 202814.552       202814.552    
calculate_psd-PART4-L1_ID63                                                           1         1         0       30705.146  30705.146  30705.146        30705.146     
calculate_psd-PART5-H1_ID75                                                           1         1         0       205419.128 205419.128 205419.128       205419.128    
calculate_psd-PART5-L1_ID64                                                           1         1         0       22324.952  22324.952  22324.952        22324.952     
calculate_psd-PART6-H1_ID76                                                           1         1         0       48010.044  48010.044  48010.044        48010.044     
calculate_psd-PART6-L1_ID65                                                           1         1         0       47831.605  47831.605  47831.605        47831.605     
calculate_psd-PART7-H1_ID77                                                           1         1         0       65686.79   65686.79   65686.79         65686.79      
calculate_psd-PART7-L1_ID66                                                           1         1         0       109125.784 109125.784 109125.784       109125.784    
calculate_psd-PART8-H1_ID78                                                           1         1         0       71150.193  71150.193  71150.193        71150.193     
calculate_psd-PART8-L1_ID67                                                           1         1         0       13957.818  13957.818  13957.818        13957.818     
calculate_psd-PART9-H1_ID79                                                           1         1         0       167258.139 167258.139 167258.139       167258.139    
calculate_psd-PART9-L1_ID68                                                           1         1         0       116403.741 116403.741 116403.741       116403.741    
coinc-FULL_DATA_FULL-H1L1_ID14                                                        24        20        4       441.448    4402.618   1357.054         32569.289     
combine_statmap-FULL_DATA_FULL_CUMULATIVE_CAT_12H-H1L1_ID17                           1         1         0       2429.804   2429.804   2429.804         2429.804      
condor::dagman                                                                        102       6         96      84.0       25251.0    622.647          63510.0       
dagman::post                                                                          66744     45751     20993   0.0        5.0        0.133            8846.0        
dagman::pre                                                                           102       102       0       76.0       531.0      99.853           10185.0       
distribute_background_bins-FULL_DATA_FULL_CUMULATIVE_CAT_12H-H1L1_ID15                1         1         0       9673.171   9673.171   9673.171         9673.171      
foreground_censor-H1L1_ID18                                                           1         1         0       5.054      5.054      5.054            5.054         
foreground_minifollowup-H1L1_ID88                                                     1         1         0       8.263      8.263      8.263            8.263         
foreground_minifollowup-H1L1_ID89                                                     1         1         0       13.915     13.915     13.915           13.915        
foreground_minifollowup-H1L1_ID90                                                     1         1         0       7.996      7.996      7.996            7.996         
foreground_minifollowup-H1L1_ID91                                                     1         1         0       7.611      7.611      7.611            7.611         
hdf_trigger_merge-FULL_DATA-H1_ID11                                                   5         1         4       925.0      336048.0   70681.2          353406.0      
hdf_trigger_merge-FULL_DATA-L1_ID12                                                   1         1         0       376478.989 376478.989 376478.989       376478.989    
inspiral-FULL_DATA-H1_ID9                                                             34050     22680     11370   0.972      157371.405 11259.738        383394088.457 
inspiral-FULL_DATA-L1_ID10                                                            28258     18680     9578    0.97       143826.474 11048.853        312218490.208 
merge_psds-H1_ID80                                                                    1         1         0       6854.719   6854.719   6854.719         6854.719      
merge_psds-L1_ID69                                                                    1         1         0       6145.728   6145.728   6145.728         6145.728      
page_foreground-HTML-H1L1_ID38                                                        1         1         0       70.885     70.885     70.885           70.885        
page_foreground-XMLALL-H1L1_ID39                                                      2         1         1       91.065     750.878    420.971          841.943       
page_foreground-XMLLOUDEST-H1L1_ID40                                                  1         1         0       232.794    232.794    232.794          232.794       
page_ifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_0_CLOSED_BOX-H1L1_ID26 3         1         2       10.12      3334.703   1119.555         3358.665      
page_ifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_0_OPEN_BOX-H1L1_ID25   4         1         3       10.113     3377.563   853.082          3412.327      
page_ifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_1_CLOSED_BOX-H1L1_ID31 1         1         0       526.037    526.037    526.037          526.037       
page_ifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_1_OPEN_BOX-H1L1_ID30   1         1         0       785.897    785.897    785.897          785.897       
page_ifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_2_CLOSED_BOX-H1L1_ID36 5         1         4       11.341     8168.912   1643.058         8215.29       
page_ifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_2_OPEN_BOX-H1L1_ID35   5         1         4       11.341     8767.553   1762.878         8814.392      
page_ifar-OPEN_BOX-H1L1_ID37                                                          5         1         4       46.172     15159.526  3071.072         15355.361     
page_segplot-SUMMARY-H1L1_ID101                                                       1         1         0       11.987     11.987     11.987           11.987        
page_segtable-SUMMARY-H1L1_ID99                                                       1         1         0       8.079      8.079      8.079            8.079         
page_segtable-VETO_SUMMARY-H1L1_ID100                                                 1         1         0       29.844     29.844     29.844           29.844        
page_vetotable-H1L1_ID102                                                             1         1         0       7.61       7.61       7.61             7.61          
pegasus::dirmanager                                                                   1         1         0       2.478      2.478      2.478            2.478         
pegasus::transfer                                                                     4181      4181      0       3.01       1789.33    10.188           42596.861     
plot_bank-H1L1_ID8                                                                    1         1         0       6.094      6.094      6.094            6.094         
plot_gating-FULL_DATA-H1L1_ID98                                                       1         1         0       11.549     11.549     11.549           11.549        
plot_hist-SUMM_NEWSNR_FULL_DATA-H1_ID50                                               1         1         0       744.283    744.283    744.283          744.283       
plot_hist-SUMM_NEWSNR_FULL_DATA-L1_ID58                                               1         1         0       757.317    757.317    757.317          757.317       
plot_hist-SUMM_SNR_FULL_DATA-H1_ID49                                                  1         1         0       738.845    738.845    738.845          738.845       
plot_hist-SUMM_SNR_FULL_DATA-L1_ID57                                                  1         1         0       602.486    602.486    602.486          602.486       
plot_range-BBH1-H1L1_ID83                                                             1         1         0       586.151    586.151    586.151          586.151       
plot_range-BBH2-H1L1_ID86                                                             1         1         0       400.319    400.319    400.319          400.319       
plot_range-BBH3-H1L1_ID85                                                             1         1         0       323.52     323.52     323.52           323.52        
plot_range-BBH4-H1L1_ID87                                                             1         1         0       368.668    368.668    368.668          368.668       
plot_range-NSBH-H1L1_ID84                                                             1         1         0       1880.735   1880.735   1880.735         1880.735      
plot_range-SUMM-H1L1_ID82                                                             1         1         0       300.048    300.048    300.048          300.048       
plot_segments-H1_VETO_SEGMENTS-H1L1_ID95                                              1         1         0       14.482     14.482     14.482           14.482        
plot_segments-INSPIRAL_SEGMENTS-H1L1_ID96                                             1         1         0       13.304     13.304     13.304           13.304        
plot_segments-L1_VETO_SEGMENTS-H1L1_ID94                                              1         1         0       5.433      5.433      5.433            5.433         
plot_segments-SCIENCE_MINUS_CAT1-H1L1_ID97                                            1         1         0       19.704     19.704     19.704           19.704        
plot_singles-ENDTIME_DURATION_NEWSNR_FULL_DATA-H1_ID45                                1         1         0       1168.629   1168.629   1168.629         1168.629      
plot_singles-ENDTIME_DURATION_NEWSNR_FULL_DATA-L1_ID53                                1         1         0       966.058    966.058    966.058          966.058       
plot_singles-ENDTIME_DURATION_SNR_FULL_DATA-H1_ID48                                   1         1         0       1291.03    1291.03    1291.03          1291.03       
plot_singles-ENDTIME_DURATION_SNR_FULL_DATA-L1_ID56                                   1         1         0       1058.057   1058.057   1058.057         1058.057      
plot_singles-ETA_EFFSPIN_NEWSNR_FULL_DATA-H1_ID46                                     1         1         0       1307.769   1307.769   1307.769         1307.769      
plot_singles-ETA_EFFSPIN_NEWSNR_FULL_DATA-L1_ID54                                     3         1         2       158.081    1119.754   480.968          1442.903      
plot_singles-MTOTAL_EFFSPIN_NEWSNR_FULL_DATA-H1_ID47                                  2         1         1       42.985     1302.159   672.572          1345.144      
plot_singles-MTOTAL_EFFSPIN_NEWSNR_FULL_DATA-L1_ID55                                  1         1         0       1115.775   1115.775   1115.775         1115.775      
plot_singles-MTOTAL_ETA_NEWSNR_FULL_DATA-H1_ID44                                      1         1         0       1250.595   1250.595   1250.595         1250.595      
plot_singles-MTOTAL_ETA_NEWSNR_FULL_DATA-L1_ID52                                      3         1         2       31.44      928.662    333.59           1000.77       
plot_singles-SPIN1_SPIN2_NEWSNR_FULL_DATA-H1_ID43                                     6         1         5       28.479     1499.457   277.236          1663.416      
plot_singles-SPIN1_SPIN2_NEWSNR_FULL_DATA-L1_ID51                                     1         1         0       1059.266   1059.266   1059.266         1059.266      
plot_snrchi-_FULL_DATA-H1_ID41                                                        1         1         0       800.242    800.242    800.242          800.242       
plot_snrchi-_FULL_DATA-L1_ID42                                                        1         1         0       1463.338   1463.338   1463.338         1463.338      
plot_snrifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_0-H1L1_ID22         1         1         0       1484.557   1484.557   1484.557         1484.557      
plot_snrifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_0_CLOSED-H1L1_ID19  1         1         0       1167.855   1167.855   1167.855         1167.855      
plot_snrifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_0_IFAR-H1L1_ID24    1         1         0       1473.62    1473.62    1473.62          1473.62       
plot_snrifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_1-H1L1_ID27         1         1         0       498.272    498.272    498.272          498.272       
plot_snrifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_1_CLOSED-H1L1_ID20  1         1         0       118.25     118.25     118.25           118.25        
plot_snrifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_1_IFAR-H1L1_ID29    1         1         0       151.4      151.4      151.4            151.4         
plot_snrifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_2-H1L1_ID32         1         1         0       20459.472  20459.472  20459.472        20459.472     
plot_snrifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_2_CLOSED-H1L1_ID21  1         1         0       1654.355   1654.355   1654.355         1654.355      
plot_snrifar-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_2_IFAR-H1L1_ID34    1         1         0       2177.91    2177.91    2177.91          2177.91       
plot_snrratehist-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_0-H1L1_ID23     5         1         4       58.505     18530.144  3756.421         18782.103     
plot_snrratehist-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_1-H1L1_ID28     1         1         0       52.982     52.982     52.982           52.982        
plot_snrratehist-FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_2-H1L1_ID33     5         1         4       24.471     2279.035   476.179          2380.895      
plot_spectrum-H1L1_ID81                                                               1         1         0       5132.689   5132.689   5132.689         5132.689      
singles_minifollowup-H1_ID92                                                          2         1         1       61.355     2011.091   1036.223         2072.446      
singles_minifollowup-L1_ID93                                                          1         1         0       1753.138   1753.138   1753.138         1753.138      
splitbank_ID7                                                                         1         1         0       57.915     57.915     57.915           57.915        
statmap-FULL_DATA_FULL_CUMULATIVE_CAT_12H-H1L1_ID16                                   3         3         0       1052.422   17859.636  9698.369         29095.106     
system::chmod                                                                         94        94        0       0.003      0.019      0.007            0.618         


# 2f99fc41-69c0-4bef-8316-241a3ecbc5e3 (H1L1-FOREGROUND_MINIFOLLOWUP_FULL_DATA_FULL_CUMULATIVE_CAT_12H_FULL_DATA_FULL_BIN_2-1126051217-3331800_dax)
Transformation                               Count     Succeeded Failed  Min       Max       Mean             Total     
dagman::post                                 1409      128       1281    0.0       1.0       0.15             212.0     
page_coincinfo-0-H1L1_ID0                    1         1         0       271.328   271.328   271.328          271.328   
page_coincinfo-1-H1L1_ID11                   1         1         0       171.027   171.027   171.027          171.027   
page_coincinfo-2-H1L1_ID22                   1         1         0       174.274   174.274   174.274          174.274   
page_coincinfo-3-H1L1_ID33                   1         1         0       271.553   271.553   271.553          271.553   
page_coincinfo-4-H1L1_ID44                   2         1         1       199.471   225.903   212.687          425.374   
pegasus::dirmanager                          1         1         0       2.713     2.713     2.713            2.713     
pegasus::transfer                            17        17        0       2.193     34.873    14.049           238.827   
plot_singles_timefreq-0-H1_ID9               65        1         64      4.349     1289.052  26.54            1725.11   
plot_singles_timefreq-0-L1_ID10              65        1         64      4.245     1272.08   25.827           1678.739  
plot_singles_timefreq-1-H1_ID20              65        1         64      4.29      1295.467  26.304           1709.777  
plot_singles_timefreq-1-L1_ID21              65        1         64      4.336     1146.653  24.248           1576.089  
plot_singles_timefreq-2-H1_ID31              65        1         64      4.351     1325.886  26.913           1749.34   
plot_singles_timefreq-2-L1_ID32              65        1         64      4.352     1074.962  23.118           1502.673  
plot_singles_timefreq-3-H1_ID42              65        1         64      4.302     1363.513  27.431           1783.044  
plot_singles_timefreq-3-L1_ID43              65        1         64      4.22      1206.603  25.007           1625.438  
plot_singles_timefreq-4-H1_ID53              65        1         64      4.288     1247.914  25.554           1661.024  
plot_singles_timefreq-4-L1_ID54              65        1         64      4.329     1260.531  25.332           1646.558  
plot_trigger_timeseries-NEWSNR10_0-H1L1_ID4  1         1         0       1340.262  1340.262  1340.262         1340.262  
plot_trigger_timeseries-NEWSNR10_1-H1L1_ID15 1         1         0       1409.778  1409.778  1409.778         1409.778  
plot_trigger_timeseries-NEWSNR10_2-H1L1_ID26 1         1         0       1358.869  1358.869  1358.869         1358.869  
plot_trigger_timeseries-NEWSNR10_3-H1L1_ID37 1         1         0       786.176   786.176   786.176          786.176   
plot_trigger_timeseries-NEWSNR10_4-H1L1_ID48 1         1         0       1424.66   1424.66   1424.66          1424.66   
plot_trigger_timeseries-NEWSNR1_0-H1L1_ID3   1         1         0       1411.066  1411.066  1411.066         1411.066  
plot_trigger_timeseries-NEWSNR1_1-H1L1_ID14  1         1         0       773.307   773.307   773.307          773.307   
plot_trigger_timeseries-NEWSNR1_2-H1L1_ID25  1         1         0       1348.186  1348.186  1348.186         1348.186  
plot_trigger_timeseries-NEWSNR1_3-H1L1_ID36  1         1         0       1427.867  1427.867  1427.867         1427.867  
plot_trigger_timeseries-NEWSNR1_4-H1L1_ID47  1         1         0       2710.726  2710.726  2710.726         2710.726  
plot_trigger_timeseries-SNR10_0-H1L1_ID2     1         1         0       1403.596  1403.596  1403.596         1403.596  
plot_trigger_timeseries-SNR10_1-H1L1_ID13    1         1         0       1397.708  1397.708  1397.708         1397.708  
plot_trigger_timeseries-SNR10_2-H1L1_ID24    1         1         0       1392.1    1392.1    1392.1           1392.1    
plot_trigger_timeseries-SNR10_3-H1L1_ID35    1         1         0       1180.17   1180.17   1180.17          1180.17   
plot_trigger_timeseries-SNR10_4-H1L1_ID46    1         1         0       1409.633  1409.633  1409.633         1409.633  
plot_trigger_timeseries-SNR1_0-H1L1_ID1      1         1         0       1164.055  1164.055  1164.055         1164.055  
plot_trigger_timeseries-SNR1_1-H1L1_ID12     1         1         0       1322.605  1322.605  1322.605         1322.605  
plot_trigger_timeseries-SNR1_2-H1L1_ID23     1         1         0       718.059   718.059   718.059          718.059   
plot_trigger_timeseries-SNR1_3-H1L1_ID34     1         1         0       1322.997  1322.997  1322.997         1322.997  
plot_trigger_timeseries-SNR1_4-H1L1_ID45     1         1         0       1198.336  1198.336  1198.336         1198.336  
single_template-P1_0-H1_ID5                  65        1         64      4.803     216.46    10.302           669.662   
single_template-P1_0-L1_ID7                  65        1         64      4.348     466.594   13.714           891.411   
single_template-P1_1-H1_ID16                 65        1         64      4.494     455.589   14.034           912.206   
single_template-P1_1-L1_ID18                 65        1         64      4.343     323.292   13.243           860.779   
